Word,Languages,Example
aabasst,Baseldytsch, isch dr riinacherhoof am münsterblatz äins vo de wenige spootgotische hüüser dört wo im joorhundert nid im barocke stiil aabasst worde si an die allgemäini lääsigsellschaft gange und het dr achilles huber s huus im klassizistische stil umbaut 
aabau,Baseldytsch Ostschwizertütsch,de gsamtertrag a olive z griecheland vorem industrielle aabau zaigt da dütli tone t t t t t t 
aabaut,Baseldytsch,in de er johr wo dr komflikt mit em baselbiet eskaliert het het män es offiziersstübli am stadtdoor aabaut 
aabe,Baseldytsch Bärndütsch,bsundrigs handfest bim intrigiere si im allgemaine d waggis wo vo iire wääge aabe d zueschauer stichle iine mänggisch vor allem de hybsche junge fraue hampflewiis räppli in kraage iine stegge und am schluss wie as entschuldigung iine e struuss mimöösli vereere 
aabote,Baseldytsch,zur eröffnig wärde bis um vierdel ab zwölfi gratisfahrte uf de vergnügigsbahne aabote wo zitlig meistens kürzt si 
aachoo,Baseldytsch Züritüütsch,ab hät er i jedere samschtiguusgaab vom tages aazäiger zää jaar lang under em teckname häxebränz zämezellt mundartpflägerischi und literatuurkundlichi artikel über s züritüütsch und s schwyzertüütsch tialäkt und tialäktliteratuur gschribe wo bin läser guet aachoo sind 
aadel,Baseldytsch,gliichzitig het sich d grubbe vo de achtburger bolitisch ufgspaltet e däil häi mit em aadel sümpathisiert wo sich uf östriich orientiert het anderi häi d zümft understützt wo in dr stadt immer mächtiger worde si 
aadlige,Baseldytsch,noch dr abschaffig vo de patrizische briwilegie im joor und dr reformazioon si die mäiste achtburger und aadlige wo no katholisch gsi si usgwanderet 
aadligi,Baseldytsch,si si vo denn aa e däil vom patriziat gsi wo vorhär nume aadligi drzueghört häi und häi sich sälber as junker afo bezäichne 
aafa,Bärndütsch,lk der yzug z jerusalem won er das gseit het gha isch er wyter gwanderet gäge jerusalem ufe und won er i d neechi vo betfage und betanie am sogenannten ölberg isch cho het er zwee vo syne jünger vorusgschickt und gseit ganget i das dorf da vorne und we dihr ynechömet findet dihr es füli aabbunde wo no nie öpper druffe gritten isch bindet s los und füeret s dahäre und wen ech öpper fragt warum bindet dihr s los de säget der herr bruucht s die won er het vorusgschickt gha sy ggange und hei s eso gfunde win er ne s het gseit gha wo si das füli losbbunde hei hei syni bsitzer zue ne gseit wiso bindet dihr das füli los si hei ne gantwortet der herr bruucht s und hei s zu jesus gfüert si hei iri chleider uf ihns gleit und hei jesus la ufstyge won er jitz wytergritten isch hei si iri chleider uf em wäg usbbreitet dert wo der wäg vom ölbärg abechunnt het der ganz huuffe vo de jünger voll fröid gott aafa lobe für alli mächtige tate wo si erläbt hei und si hei grüeft mir rüeme dä wo chunt um uftrag vom herr der chünig im himel isch fride und ehr i der höchi es paar pharisäer us em huuffe hei zuen ihm gseit meischter tue doch dyni jünger gschweigge er het ne gantwortet we die schwyge tüe d steine brüele zitiert us em buech ds nöie teschtamänt berchtold haller verlag 
aafaa,Züritüütsch,i d re zyt hät er sich i s keltisch ygschaffet äigetli dur zuefall wil d büecher us tüütschland wäge der imflazioon nach em eerschte wältchrieg eso günschtig z chauffe gsy sind und hät aafaa über oortsnäme publiziere 
aafang,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,mit zuenehmender assimilation wo meischtens über generatione gaht chann sich di ethnischi zueghörigkeit vo personegruppe ändere biischpiil die düütsche nachfahre vo dene pole wo am aafang vom jahrhundert is ruhrgebiet iigwandertet sind und wo nur no dene ihre familiename a d herkunft erinnered 
aafange,Baseldytsch Ostschwizertütsch Züritüütsch,wil im wallfaartsoort d volchsfrömigkäit vil wichtiger gsy isch als de glaube an sich hät er wider wallfahrten und andre missbräuche aafange predige 
aafangs,Baseldytsch Züritüütsch Bärndütsch,aafangs dryssgerjaar isch er dänn archivaar im bundesarchyv woorde 
aafoo,Baseldytsch,werum as d basler fasnacht hyte e wuche speeter duet aafoo as in de umliegende stedt isch nid klar 
aafäng,Baseldytsch Züritüütsch Bärndütsch,iri aafäng hät si bim kaktuszüchter jakob gasser um ume ghaa 
aagaat,Züritüütsch,was d namekund aagaat isch er bim snf projäkt datenbank der schweizer namenbücher und bim snf projäkt thurgauer namenbuch deby gsy und ab hät er zäme mit der elvira glaser as co läiter vom snf projäkt die siedlungsnamen des kantons zürich a der uni züri fungiert 
aagebot,Baseldytsch Ostschwizertütsch Züritüütsch,drum züglet vill riich lüüt wie de martin ebner mit siner bz bank det ane wils eso vil gäld chönd spare und trotzdem nöche vo de stadt züri sind won en grosses kulturells aagebot und mäng arbetsplätz häd 
aagee,Baseldytsch Züritüütsch,oder lat isch die nördlichi oder südlichi entfernig vomene ort punkt vo dr erdoberflächi vom äquator und wird im winkelmass aagee 
aageeh,Züritüütsch,d nummere hät früeher d reihefolg vo dr entdeckig vom himmelskörper aageeh 
aaghört,Züritüütsch,e person isch ussländer wenn sie ere ethnie aaghört wo em inland historisch nöd chan zuegordnet werde 
aagit,Baseldytsch Züritüütsch,zum eerschte maal üsseret er sich aber au kritisch zu d ne daate und zelt i föif pünkt uuf was d probleem sind vo foneetische tialäktchaarte aso söttige wo äifach di äxakte luut yzäichnet w rded ooni aber das mer aagit wie die im gsamte luutsischtem überhaupt posizioniert sind söttig chaarte segid äitwäders unvollständig oder aber bilangloos zäigid ekäi klaari gränze segid e rächts stuck wyt subjektyv und willküürlich rüerid erschynige i äin topf wo spraachlich tränt segid und lauffid gfaar das gwüssi underschiid mee mit de verschidenen exploratoore z tue hebid weder mit de spraach sälber 
aagl,Baseldytsch,d buslinie vo dr aagl fiehrt vo lieschtel yber bubedorf noch arbetschwyl und witter noch reigetschwyl 
aagleit,Baseldytsch Züritüütsch,das geld isch inere schtiftig aagleit wirde wo vomene rat vo sechs direktore gleitet wird und nach dr prüefig vom teschtament iigsetzt worde isch 
aagläit,Baseldytsch Züritüütsch,es speziaalinträsse sind d anglizisme im schwyzertüütsch gsy vo d ne hät er e groossi samlig aagläit wo jetz im archyv vom schwyzerischen idiotikon z züri liit 
aagnaah,Züritüütsch,deet wird di i dr realität unmöglichi situation aagnaah dass d erde und d sunne a einere schtell sind und s objekt dr komet oder asteroid gnau ei astronomischi einheit entfernt schtaht 
aagnoh,Baseldytsch,basel het dorum en äidgenössische schiidsspruch aagnoh wo im daagsatzigsort baade gfellt worden isch 
aagnoo,Baseldytsch Züritüütsch,einigi schtaate drunder au düütschland und d usa entziehnd ihre bürger automatisch ihri schtaatsaaghörigkeit wenn die vomene andere schtaat aagnoo wird 
aagregt,Baseldytsch Züritüütsch,d hät er aber nie überchoo und so hät er si vo de schwyzerische spraach abgwändet und isch aagregt vo sym basler leerer franz misteli und spööter vom g k niemann ganz zun auschtroneesische spraachen übereggange 
aagriff,Baseldytsch Züritüütsch Bärndütsch,dr friedrich hät dänn im früelig nomal versuecht en aagriff uf d eidgenosse z füere siis heer isch aber bi ragaz am märz gschlage worde 
aah,Bärndütsch,är isch eso schlächt zwäg är isch eso schlächt zwäg i erklären ech denn warum später i säge mau gueten abig es isch rüehrend es volls hus e sones volls hus isch doch fantastisch fasch es huus es zält immerhin es isch ume früelig es isch ume früelig es isch ume früelig es isch ume früelig hallo soundmönsch tschou chani chli meh uf e monitor ha u zwar weniger bäss u meh höchene es isch ume früelig es isch ume früelig s chönnti no chli meh sy bitte hallo hallo frontline es isch ume früelig das isch scho ganz guet u nachhär müessti no echli vom fränk ha gib mal chli fortissimo fantastisch eh vom balts o es bitzeli vor allem d gitarre isch interessant aah gueten abig mitenand mir sy einisch nid elei dasch de mich gärber u de fränk gärber zwänzg jahr zwänzg jahr chrämerhuus dasch für üs o dänkwürdig mi muess säge mir hei jahrelang hie gspielt es het überhoupt nid rentiert jetz si sovil lüt i ha gar nid gwüsst wievil iiwohner dass langethal het i gratulier euch zu däm dasch nämlech würklech öppis wome mues hochhalte i finds e wahnsinnig guete klub u me gseet doch bim chrigu u mi gseet bi mir we me sich irgendwie cha verankere u chli breiter wird oder e richtige wohlstand isch eigetlich weme meh mitarbeiter het derwäge simer hüt vieri u weme feisser wird de merkt me es geit guet mit dr wirtschaft u itz isch sowieso früelig u stelled nech vor es isch früelig d hormone spile wild me fragt sich nume wie gani um wie gani mitem mami ihrne granium um wie gani um wie gani um wie gani um wie gani um der stoub vo de birkepolle legt sich uf d mandle me het stimmproblem aber s isch ume früelig es isch ume früelig es isch ume früelig si hei scho d granium duss u ir stadt spile d indianer flöte u di junge küsse am fluss nume i hocke i dr wonig zwüschen üs isch schluss los i gloub dä früelig wird für mi ke grosse gnuss u d hippis spile frisbee u die jodler jodle voll luscht numen i ha dr absolut fruscht i dere früeligsbluescht u ou dr schissdräck vom letschte hochwasser hei si scho dännegruumt i däm land trifft s gäng di unschuldige das bin i mer scho gwöhnt du sigisch gäng bi mir u würdisch gäng bi mer si u glych hocken ig alei vor mym zwöier wy ja u d liebi die isch ewig solang si het drum ligt o en angere näbe dir im himelbett es isch ume früelig es isch ume früelig es isch ume früelig also d stärchi vo däm text isch eidütig im refrain es isch ume früelig es isch ume früelig mir hei di alte sibesache guet verhänkt mir hei di gschänkte rösser scho lang wytergschänkt u dr räscht dä mues i mer schänke nie hätt i mir das dänkt mir hei die gschänkte rösser a angeri wytergschänkt u im troumlexikon sueche mir üsi tröim u di zugvögu vögle ide chirschiböim u überall überall nume lache nume mir geit s schlächt u dr nächscht richtig früelig chunnt früechestens im herbscht es isch ume früelig u me mues dra dänke mi mues eifach dra dänke zum bischpil a d ernährig ässit doch meh salöt chli salöt also rindfleischsalöt ochsemuulsalöt cervalatsalat eh i ha cervelat nid eso gärn eso wahnsinnig durebräätlet aber zäme mit chääääs mit chääs im salat hani se verruckt gärn verruckt verruckt verruckt verruckt verruckt verruckt verruckt verruckt verruckt verruckt verruckt verruckt verruckt verruckt merci
aalaag,Baseldytsch Ostschwizertütsch Züritüütsch,s isch e barocki aalaag wo aber scho vil zäiche vom früene klassizismus hät 
aalaage,Baseldytsch Züritüütsch,für di nöie quai aalaage vo den er jaar wo de stadtingenieur arnold bürkli aagräiset hät händ zwee doozmaal birüemti architäkte und zwee doozmaal birüemti gaartenaalegger guetachten abgg und e räie naamhafti zürcher profässoore vo de botaanik und de geology idee für d aapflanzig gliferet 
aalag,Baseldytsch Bärndütsch, isch es stedtischs bad baut worde e geissemilchbude und e wärkzüüghütte drei johr spöter en öffentligs pissoir hinder em brunne an dr hammerstrooss s bad isch in de johr druf usbaut worde und denn het mä e musigpavillon baut in de er isch d aalag wider umbaut worde es het meh raseflechene gee e chinderspiilblatz mit eme sandhufe und eme blanschbecki isch iigrichdet worde und an dr klingedaal und dr droohtzugstrooss het s autoparkblätz gee het dr karl guetchnächt si schlangebrunne ufgstellt wo dr alt drinkwasserbrunne us em johr ersetzt het 
aalage,Baseldytsch,dr grössti deil vo de erhaltene aalage stoht z augst 
aalass,Baseldytsch Züritüütsch,d arbetsstelle händ villfach au material wo d schare chönd för en aalass uslehne 
aaligge,Züritüütsch Bärndütsch,de baragiola isch äine von eerschte gsy wo z itaalie tüütschi filology gleert hät und es isch em umgcheert es aaligge gsy z tüütschland und i de schwyz für di italienisch kultuur z wöible 
aaluege,Baseldytsch Züritüütsch,sit em dezämber cha me s wöörterbuech über s internet online naaschlaa und au all die fotenen und graafiken aaluege wo d artikel iluschtriered 
aaläss,Baseldytsch Züritüütsch,för regionali aaläss us und witerbildig vo de gruppeleiter und leiterinne isch d kantonsleitig zueständig 
aane,Baseldytsch,d sammlig isch no di noo z grooss worde und dorum het mä d naturalie im falkestäinerhoof underbrocht und wo s museum an dr augustinergass fertig baut gsi isch d sammlig us em huus zur mugge dört aane züüglet 
aanee,Baseldytsch Ostschwizertütsch Züritüütsch,me hät abgmachet dass jedi gmäind dur meerhäitsbschluss dr alt oder nöi glaube törf aanee 
aarau,Baseldytsch Züritüütsch,i s gimnaasium isch er z aarau und nachanen hät er a den uniw rsit te b rn und wien g rmanischtik und musigwüsseschaft gstudiert 
aarbede,Baseldytsch,dodrus isch e tabulaturbuech entstande dr codex amerbach wo zu de umfangriichste aarbede us em früehje johrhundert zelt 
aarbet,Baseldytsch Züritüütsch,z züri hät de bandle dänn bim ruedolf hotzenköcherle und bim eugen dieth mit eren aarbet über d spraach vo der eltischten isländische bibelübersetzig de gu brandsbibl a vo promowiert truckt woorden isch d dissertazioon 
aarbete,Züritüütsch,em bandle syn rueff verdankt sich aber hauptsächli drei skandinawischtisch spraachwüsseschaftlichen aarbete wo wies syni aarbet am idiotikon gsy isch spraachgschichtlich und dialäktoloogisch orientiert sind 
aare,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,züri hät dänn brugg überfalle um de armagnake de weg über d aare freizmache 
aargöi,Züritüütsch,syn nachfolger isch de hermann blattner us em aargöi gsy 
aart,Züritüütsch, i de bisprächig wo d zürizytig vom meerze praacht hät isch das buech durewägg gloobt woorde d aarbet sei orginell bindi sich nöd a s landlöiffig scheema vo oortsgschichte wo doozmaal grooss uufchoo sind und umgöng daademit f ler wo für publikazioone vo d ren aart suscht eso tipisch segid 
aasatz,Züritüütsch Bärndütsch,am aafang isch s lambda no sehr ähnlich zum lamed zeichnet worde als strich mit aasatz bis zum klassische griechisch hät sich druus dänn d dach form vom hütige lambda entwicklet 
aaschy,Züritüütsch,i der indology häts der abegg alem aaschy naa besser präschtiert 
aasicht,Baseldytsch Züritüütsch Bärndütsch,nach aasicht vo einige autore und vom landgricht stuttgart isch bi ihre di kommerzielli nutzig nöd notwendigermasse iigschlosse 
aastalt,Baseldytsch Züritüütsch,im i hät si di äigetlich musigabtäilig ygrichtet wo vil underlaage vo musighüüser naachläss vo komponischte und vo musigforscher s archyv vo de zürcher liederbuech aastalt und verschideni samlige vo musignoote uufbhaltet zum byschpiil die vom konsi und die vo de toonhale 
aawalt,Baseldytsch Züritüütsch,und demit der befähigung zur tätigkeit als aawalt abgschlosse 
aazaal,Ostschwizertütsch Züritüütsch,e gwüssi aazaal isch au in wyteren umlauff choo 
aazahl,Züritüütsch,gründ defür sind s funktionelle zämewachse vo de sidligsgebiet d komplexität vo de uufgaabe überforderig vo de behörde vo chliigmeinde nachwuchsmangel für gmeindsbehörde mangelnds politischs gwicht im kanton us sicht vo einige experte au di suboptimali grössi aazahl iiwohner per se 
aazooge,Baseldytsch,das isch zwar sälte gnueg vorchoo het aber immer e guets publikum aazooge wil dr iidritt nume zwäi schilling kostet het 
abe,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,s abetringelen isch en lokaale silväschterbruuch wo die verchläidete chind und jugetliche mit tringele trychle s stedtli abe schäled 
abem,Baseldytsch Ostschwizertütsch Bärndütsch,abem johrhundert het de buddhismus z indie selber a bedütig verloore 
aben,Züritüütsch Bärndütsch,si lyt imene groosse park lueg une wo früener bis an zürisee aben isch 
abfäll,Baseldytsch,am mai isch d basler konvention dr vollständig änglisch titel isch basel convention on the control of transboundary movements of hazardous wastes and their disposal wo dr export vo gföhrlige abfäll vo de riiche in die arme länder verbietet in chraft drätte 
abgee,Baseldytsch Züritüütsch,bsuecher chönns zu filme bewertige und kommentar abgee wo dänn nach eme uf dr bayessche wahrschiinlichkeitsverteilig beruehende syschtem uusgwertet werded 
abgg,Züritüütsch,am liebschte hät si de baragiola aber mit de süüdbairische walserischen und ladynische spraachinsle z norditaalie abgg 
abgläit,Baseldytsch Züritüütsch,er hät au s fachzügnis für französisch und italienisch abgläit und e halbs jaar isch er z floränz gsy 
abglöst,Baseldytsch Züritüütsch Bärndütsch,die regelig isch dur d din abglöst worde wo de mändig zum erschte wuchetag macht 
abgnoh,Baseldytsch Züritüütsch,nach de legände söll de benkei d gojo brugg in ky to bewacht ha und jedem wo sie hät überquere wele d waffe abgnoh ha 
abig,Züritüütsch Bärndütsch,am gliiche abig findet usserdem es bankett i chliinerer rundi schtatt 
abote,Baseldytsch Bärndütsch, het d ggg iir aagebot mit dr gründig vo dr bürgerbibliotheegg und vo dr arbäiterbibliotheegg erwiteret wäm was abote worde isch het vo dr schicht vom alter und vom gschlächt abghängt dr erziejerisch ufdraag isch im vordergrund gstande so häi d benutzer im moonet nume äi buech mit eme underhaltsaame charakter döfe usleene 
acho,Baseldytsch Bärndütsch,im verlauf vom schwobechrieg si d druppe vom schwöbische bund under em afüehrer groof heinrich vo fürstebärg vom sundgau här gege s schloss dorneck bi dornach im soledurnische marschiert em erste schloss uf em eidgenössische gebiet wo vom hauptmä benedikt hugi verteidigt worden isch am juli si sie im birsdal acho und hai agfange strategischi pünkt wie d birsbrugge bi dornachbrugg z bsetze und s bruederholz z überquere 
achti,Baseldytsch Züritüütsch Bärndütsch,jede moorgen isch er zum schaffe vo zolike uf züri gloffe im büro isch er im sumer spöötischtens am halbi sibni im winter am halbi achti gsy und z mittaag wider z fuess häiggange zum sich em exzerpiere vo quäle und synen andere stuudie z widme 
aesch,Baseldytsch Züritüütsch,äine vo de bekantischte zürcher chinderchöör chunt nöd us de stadt züri sälber es isch ja au i de kultuur eso dass s stadtläbe nöd a de politische gränzen ufhört sondern us de naachbergmäind grad im weschte näbet züri im limettaal une es isch de choor schlieremer chind wo ane vom lehrer und gabarettischt werner von aesch zäme mit em zürcher musigverleger hans jecklin ggründet woorden isch 
afah,Bärndütsch,gester znacht hets nüünitram statt hei is depot zgah plötzlich niemer weiss warum sis schinegleis verlah isch zum himmel ufe gflogge und dert nadina i der nacht verschwunde ohne spure zhinderlah siebe hünd hend kläglich goulet grad wo das isch gscheh und e chalte windstoss isch dört mobischualee und shet en bedrunknige wos als einzige het gseh dör die leere strasse brüelet oh herrjemine das het em ne polizischt wo dert zur stell isch gsie hühenerhut igjagd das er es ei het gleit derbi und e frou het denkt wie nützlich doch die tschuger sii hets ei gno und s prätlet bis es stiereoug isch gsie doch de stier isch us der pfanne grisplet und dervo d frou afah brüele und es het der mordio bis der stier sich in es tram verwandlet het und so uf de gleis isch wiider gfahre gäge ztramdepot druf ischs wider stiller worde und denn schliesslich ruhe ds nüünitram isch hine ume rank ufs depot zue eine het no grüeft i pfuuse blased mir id schuhe und ihr heit jitz sicher alli vo mim gschichtli gnue
afang,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,um hät au d arbeiterbewegung ihre afang gno 
afange,Ostschwizertütsch,aber die enge kontäkt mite franke hend scho e günstigi uswürkig und tuet die assichte afange verändere vor alem bi de gschidere lüt 
afangs,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,de fuessballclub wädenswil isch de populärsti sportverein vo de stadt und isch endi vo de achtziger jahr und afangs vo de nünzger de fuessballverein mit de meiste mitgliider i de schwiiz gsi 
afe,Baseldytsch Ostschwizertütsch Bärndütsch,oder au abgschwächt werde ge gi afe s foot glii afe regne 
